YEAR,MONTH,Import duty,Excise duty,Income tax,VAT,OTHER TAX INCOME,TOTAL TAX REVENUE,NON TAX REVENUE,TOTAL REVENUE,Programme Grants,Projects Grants,Total Grants,Domestic Interest ,Foreign Interest,Wages & Salaries,Pensions,Other expenditure,TOTAL RECURRENT EXPENDITURE,County Transfer,DEVELOPMENT EXPENDITURE,TOTAL EXPENDITURE
2014,5,"84,511.67","90,419.75","389,249.19","210,202.43",,"774,383.04","85,776.82","860,159.86",,"20,605.40","20,605.40","108,703.69","9,479.74","270,836.28","24,910.00","267,877.26","681,806.98","159,907.70","237,985.21","1,079,699.88"
2014,6,"67,554.64","102,029.10","449,590.07","232,630.32",,"851,804.13","117,358.03","969,162.15",,"25,272.96","25,272.96","119,193.05","14,934.32","288,471.47","31,210.00","342,684.21","796,493.04","193,389.86","291,279.92","1,281,162.82"
2014,7,"4,564.12","7,614.58","31,331.13","17,885.28",,"61,395.11","28,335.10","89,730.22",,527.23,527.23,"4,509.05",462.6764361,"25,000.00","1,800.00","15,358.76","47,130.48",0,"2,459.60","49,590.08"
2014,8,"10,180.30","14,893.93","62,134.53","37,505.22",,"124,713.98","42,866.19","167,580.17",,581.802,581.802,"18,657.00","1,051.22","50,010.00","3,945.98","55,456.43","129,120.64",0,"11,949.15","141,069.79"
2014,9,"16,632.95","24,672.98","116,250.03","58,708.19",,"216,264.15","45,236.81","261,500.96",,"3,377.15","3,377.15","34,672.73","3,848.46","75,030.00","6,915.98","98,484.71","218,951.88","9,064.02","33,099.67","261,115.56"
2014,10,"22,465.82","37,500.36","150,355.81","80,398.18",,"290,720.16","61,552.46","352,272.63",,"6,010.81","6,010.81","39,569.10","4,179.79","91,492.45","9,735.98","104,572.59","249,549.91","50,721.92","73,235.79","373,507.61"
2014,11,"28,171.97","47,378.45","180,321.15","101,526.79",,"357,398.36","58,731.83","416,130.19",,"6,664.25","6,664.25","51,230.69","5,164.95","114,365.56","12,495.98","119,190.90","302,448.07","69,908.34","117,740.19","490,096.60"
2014,12,"35,091.52","56,506.12","239,201.93","122,887.72",,"453,687.29","83,078.31","536,765.60",,"7,826.84","7,826.84","56,110.24","11,375.15","150,000.00","15,995.98","150,371.38","383,852.75","83,616.28","146,495.56","613,964.59"
2015,1,"41,881.56","66,833.18","272,458.24","147,619.96","29,417.87","558,210.80","52,845.54","611,056.34",0,"11,204.86","11,204.86","61,630.83","12,806.62","165,150.91","19,246.98","200,895.08","459,730.43","108,244.08","196,861.21","764,835.72"
2015,2,"47,363.61","74,536.93","303,065.92","166,771.33","35,951.14","627,688.93","65,098.74","692,787.67",,"15,158.17","15,158.17","72,382.34","18,914.55","188,743.90","20,446.98","235,488.12","535,975.88","115,321.81","212,885.93","864,183.63"
2015,3,"53,241.66","83,762.29","342,207.38","187,640.07","32,219.03","699,070.44","65,496.89","764,567.34",,"19,123.61","19,123.61","85,699.50","21,303.29","225,000.00","25,946.98","261,707.44","619,657.21","138,064.92","375,413.07","1,133,135.19"
2015,4,"59,201.65","94,354.32","398,095.05","210,855.39","39,628.18","802,134.59","76,263.71","878,398.29",,"23,419.63","23,419.63","97,735.57","21,303.29","250,000.00","30,046.98","293,817.10","692,902.94","172,338.06","399,083.81","1,264,324.81"
2015,5,"65,320.78","104,866.07","442,489.54","233,154.99","35,200.43","881,031.81","77,734.03","958,765.84",,"23,531.13","23,531.13","109,786.10","21,309.01","232,817.94","33,081.98","350,025.36","747,020.39","180,538.26","420,084.15","1,347,642.80"
2015,6,"74,047.72","115,871.72","508,580.90","259,685.20","39,039.89","997,225.43","85,936.47","1,083,161.90",,"27,383.85","27,383.85","139,727.92","29,289.05","297,978.48","38,231.98","359,020.53","864,247.96","229,336.24","511,822.12","1,605,406.32"
2015,7,"5,853.47","9,415.75","36,489.51","21,897.56","3,464.09","77,120.38","4,087.26","81,207.63",,61.0026082,61.0026082,"6,722.04","1,973.01","27,793.89",200,"15,138.25","51,827.19",0,"5,155.94","56,983.12"
2015,8,"12,675.89","19,812.26","69,280.20","44,333.76","7,318.48","153,420.59","8,770.25","162,190.83",,"2,975.94","2,975.94","19,393.26","2,454.20","55,587.78","3,100.00","16,553.28","97,088.52","11,834.57","29,772.57","138,695.66"
2015,9,"19,422.32","30,103.86","126,753.69","69,408.95","10,935.47","256,624.30","20,369.81","276,994.11",,"5,493.79","5,493.79","37,395.18","5,635.86","52,089.78","10,400.00","76,074.54","181,595.36","31,387.60","41,218.70","254,201.66"
2015,10,"26,230.62","41,110.60","162,202.78","91,824.89","15,584.20","336,953.08","28,530.60","365,483.68",,"6,494.63","6,494.63","51,557.36","5,635.86","52,092.78","14,400.00","161,362.77","285,048.77","54,151.57","57,472.47","396,672.81"
2015,11,"32,733.88","51,809.44","197,436.72","115,132.81","18,982.72","416,095.56","35,190.16","451,285.72",,"8,252.10","8,252.10","67,275.85","5,990.23","97,226.10","19,055.00","179,848.10","369,395.27","78,767.00","159,564.86","607,727.13"
2015,12,"39,170.00","64,705.00","262,184.00","138,036.00","21,945.00","526,040.00","49,200.00","575,240.00",,"9,243.00","9,243.00","85,715.00","15,067.00","148,714.77","23,468.00","203,997.23","476,962.00","99,191.00","193,030.00","769,183.00"
2016,1,"46,501.24","77,032.83","297,878.07","163,068.66","24,759.51","609,240.30","61,700.20","670,940.50",,"20,825.60","20,825.60","92,686.07","17,374.18","194,557.22","27,053.70","218,855.00","550,526.18","114,192.75","224,147.67","888,866.61"
2016,2,"47,212.86","77,666.68","299,514.61","164,755.34","25,375.53","614,525.01","66,352.92","680,877.93",,"24,248.77","24,248.77","105,146.71","17,937.31","222,351.11","27,053.70","194,337.48","566,826.32","114,659.52","246,270.44","927,756.27"
2016,3,"57,792.86","99,129.09","379,544.00","209,242.65","30,167.50","775,876.09","76,503.81","852,379.90",,"24,491.23","24,491.23","122,586.88","19,403.84","250,145.00","35,243.53","283,424.12","710,803.37","161,598.08","297,263.12","1,169,664.57"
2016,4,"64,271.46","111,517.06","445,127.85","234,226.41","32,973.57","888,116.35","85,145.59","973,261.94",,"26,075.67","26,075.67","137,820.73","20,253.97","277,938.89","42,278.43","323,418.54","801,710.57","199,384.77","337,847.99","1,338,943.32"
2016,5,"71,582.14","125,956.96","497,253.66","260,671.90","36,055.39","991,520.04","93,345.49","1,084,865.54",,"26,480.00","26,480.00","153,792.91","21,524.14","305,732.78","47,892.93","371,506.65","900,449.41","227,231.69","363,870.47","1,491,551.56"
2016,6,"79,187.93","139,540.34","564,475.21","289,213.47","39,567.66","1,111,984.62","110,030.12","1,222,014.74",,"28,005.46","28,005.46","172,857.04","30,510.02","307,421.40","54,396.43","463,943.67","1,029,128.55","264,038.64","483,601.22","1,776,768.41"
2016,7,"6,136.02","13,555.24","35,269.49","23,775.81","2,316.11","81,052.67","7,641.07","88,693.74",0,0,0,"8,643.42","7,030.99","30,064.68","2,603.50","13,471.98","61,814.58",0,"1,579.67","63,394.25"
2016,8,"12,797.55","27,205.48","80,325.68","52,696.55","5,174.61","178,199.87","18,588.96","196,788.82",0,25.9295715,25.9295715,"26,556.32","7,774.30","45,635.66","7,504.50","68,661.95","156,132.73","29,493.98","6,147.45","191,774.15"
2016,9,"19,968.63","40,427.17","140,855.00","79,648.06","8,130.30","289,029.16","27,140.39","316,169.54",0,"1,422.36","1,422.36","36,110.38","9,422.97","75,100.00","14,533.60","107,164.45","242,331.40","55,346.51","81,751.51","379,429.41"
2016,10,"25,843.57","52,977.15","177,381.82","100,833.15","10,375.40","367,411.09","37,880.27","405,291.36",0,"2,166.85","2,166.85","59,154.68","10,676.13","120,258.74","16,471.90","123,383.58","329,945.03","68,270.92","130,708.58","528,924.53"
2016,11,"32,551.39","60,350.37","222,639.68","126,909.84","12,147.12","454,598.41","58,135.10","512,733.51",0,"7,358.18","7,358.18","76,925.20","14,818.71","150,323.42","21,454.30","161,250.65","424,772.28","95,596.66","225,436.67","745,805.61"
2016,12,"42,883.21","81,664.37","289,274.61","160,535.77","16,812.60","591,170.56","78,164.53","669,335.10",0,"6,424.71","6,424.71","100,088.42","25,447.95","180,388.11","30,244.55","200,386.49","536,555.52","116,252.25","251,622.97","904,430.74"
2017,1,"50,841.52","95,811.63","330,139.60","190,043.66","19,403.28","686,239.69","86,454.94","772,694.63",0,"12,950.39","12,950.39","110,412.62","34,805.51","210,452.79","32,461.55","222,037.64","610,170.12","139,309.49","333,425.71","1,082,905.32"
2017,2,"58,615.39","109,381.19","364,994.08","217,776.70","22,381.90","773,149.26","96,571.69","869,720.96",0,"14,157.63","14,157.63","125,425.29","35,589.51","240,517.47","38,696.55","268,772.40","709,001.23","152,669.15","379,645.43","1,241,315.80"
2017,3,"65,804.00","121,568.00","412,034.00","246,084.00","25,118.91","870,608.88","104,098.73","974,707.60",0,"20,479.18","20,479.18","145,791.96","37,279.89","270,582.16","41,911.25","312,942.75","808,508.00","185,231.18","441,360.14","1,435,099.32"
2017,4,"72,638.00","134,666.00","482,910.00","274,169.00","27,613.71","991,996.20","114,131.87","1,106,128.07",0,"22,328.55","22,328.55","164,125.52","38,508.27","300,646.84","50,723.75","362,333.43","916,337.80","210,183.27","530,711.28","1,657,232.35"
2017,5,"81,319.00","149,102.00","547,507.00","305,994.00","30,553.97","1,114,477.06","136,770.48","1,251,247.54",0,"20,699.32","20,699.32","188,577.71","44,322.00","307,424.52","52,520.75","454,556.12","1,047,401.09","245,501.35","559,397.12","1,852,299.55"
2017,6,"89,943.00","165,474.00","625,050.00","339,034.00","33,961.29","1,253,462.72","143,637.53","1,397,100.24",0,"26,662.63","26,662.63","212,865.24","53,520.42","360,776.21","62,393.35","529,457.24","1,219,012.45","284,708.46","660,000.90","2,163,721.81"
2017,7,"6,624.00","13,248.00","37,256.00","27,199.00","3,456.52","87,783.34","7,628.51","95,411.85",0,81.1812,81.1812,"11,708.84","7,102.48","32,604.92",250,"17,821.82","69,488.06","8,793.58","5,748.51","84,030.16"
2017,8,"13,196.00","27,163.00","81,718.00","58,888.00","6,801.16","187,765.67","16,260.38","204,026.05",0,"1,687.81","1,687.81","29,524.29","7,763.86","65,209.83","7,545.80","77,352.63","187,396.42","17,901.08","24,275.43","229,572.92"
2017,9,"20,974.02","40,328.01","157,245.35","86,381.64","12,487.23","317,416.26","27,461.49","344,877.75",0,"6,265.57","6,265.57","49,871.41","12,246.58","97,814.75","10,222.32","127,052.54","297,207.61","20,434.08","57,713.23","375,354.92"
2017,10,"27,600.58","47,824.45","202,707.16","111,987.92","15,090.93","405,211.04","38,846.96","444,057.99",0,"4,669.56","4,669.56","70,241.95","19,427.91","122,003.94","16,315.17","163,187.77","391,176.74","35,371.29","121,796.38","548,344.41"
2017,11,"40,873.87","62,635.27","245,488.49","141,632.51","18,070.28","508,700.42","49,694.48","558,394.90",0,"9,922.55","9,922.55","89,408.82","25,130.60","163,024.58","22,170.20","210,492.10","510,226.29","65,452.70","143,302.51","718,981.50"
2017,12,"47,530.09","75,181.78","319,672.40","167,298.73","20,684.77","630,367.76","75,856.93","706,224.70",0,"14,791.91","14,791.91","114,630.26","41,279.05","195,629.50","27,908.41","255,069.38","634,516.61","84,670.93","209,797.72","928,985.25"
2018,1,"58,181.17","92,484.76","377,219.09","203,206.59","24,123.83","755,215.44","85,403.57","840,619.01",0,"16,305.04","16,305.04","125,890.99","50,339.41","228,234.42","31,735.91","323,470.58","759,671.31","107,516.24","209,851.17","1,077,038.72"
2018,2,"64,929.02","104,706.34","409,145.24","230,545.42","26,693.42","836,019.44","97,470.07","933,489.51",0,"19,119.12","19,119.12","140,772.99","51,063.26","260,839.33","37,515.91","366,306.50","856,497.99","126,943.93","277,073.94","1,260,515.87"
2018,3,"72,871.80","117,481.10","460,769.05","258,547.99","29,679.08","939,349.02","108,426.72","1,047,775.73",0,"23,306.91","23,306.91","164,585.41","55,594.79","293,444.25","47,038.94","412,395.95","973,059.34","174,517.77","341,079.36","1,488,656.48"
2018,4,"80,419.60","132,194.82","521,794.73","289,816.50","32,573.42","1,056,799.05","118,363.16","1,175,162.22",0,"23,695.88","23,695.88","189,922.80","62,785.04","326,049.17","52,750.94","456,177.42","1,087,685.37","193,060.77","366,067.30","1,646,813.43"
2018,5,"89,169.00","146,330.00","576,431.00","322,619.00","35,722.00","1,170,271.00","137,446.00","1,307,717.00",0,"25,660.33","25,660.33","214,077.00","66,456.00","358,654.00","54,667.00","509,229.00","1,203,083.00","239,787.59","392,982.33","1,835,852.92"
2018,6,"99,214.64","162,483.84","640,593.35","356,855.92","52,544.53","1,311,692.29","175,534.78","1,487,227.07",0,"27,600.14","27,600.14","239,469.90","84,420.24","383,950.92","65,098.55","546,646.23","1,319,585.84","306,200.00","485,673.05","2,111,458.89"
2018,7,"8,299.47","15,926.33","41,767.33","29,938.05","2,851.73","98,782.92","11,372.60","110,155.52",0,0,0,"17,311.96","10,462.31","37,013.08","3,300.00","21,385.15","89,472.50",0,"2,203.70","91,676.20"
2018,8,"18,175.29","29,284.38","89,560.42","61,801.53","6,313.06","205,134.67","21,971.66","227,106.33",0,"1,496.27","1,496.27","34,002.41","19,076.90","74,026.16","7,693.40","78,029.49","212,828.36","4,031.94","36,083.00","252,943.30"
2018,9,"25,760.00","42,794.94","159,111.93","92,640.15","9,030.36","329,337.39","36,657.46","365,994.85",0,"3,578.05","3,578.05","61,118.92","22,979.46","94,978.24","13,122.27","153,174.35","345,373.24","23,532.37","83,554.65","452,460.26"
2018,10,"36,065.65","57,723.99","207,365.43","126,600.98","12,180.14","439,936.20","49,866.56","489,802.76",0,"6,428.35","6,428.35","82,890.10","32,384.41","148,052.32","18,277.13","163,261.19","444,865.14","44,704.47","130,301.04","619,870.64"
2018,11,"44,789.97","75,580.15","255,084.63","165,202.67","15,108.29","555,765.71","63,241.22","619,006.93",0,"8,187.20","8,187.20","105,505.46","32,384.41","185,065.40","22,931.43","196,780.38","542,667.07","74,491.27","234,868.88","852,027.23"
2018,12,"51,700.53","91,722.60","325,542.98","193,850.87","17,938.83","680,755.82","113,896.88","794,652.70",0,"8,828.68","8,828.68","131,525.06","46,099.34","201,615.88","38,171.51","226,492.90","643,904.69","119,674.39","311,881.76","1,075,460.83"
2019,1,"61,152.30","110,267.21","380,397.70","232,443.62","21,111.56","805,372.39","119,434.61","924,806.99",0,"9,441.75","9,441.75","146,765.11","52,475.36","247,958.59","37,392.60","328,206.56","812,798.22","150,258.12","328,606.66","1,291,662.99"
2019,2,"69,878.85","125,589.56","413,265.04","266,930.24","24,235.65","899,899.33","132,923.13","1,032,822.47",0,"12,302.83","12,302.83","165,625.12","61,122.26","283,381.24","43,884.83","370,300.99","924,314.45","177,310.95","364,473.94","1,466,099.34"
2019,3,"78,822.39","142,176.47","470,096.90","300,146.28","27,270.74","1,018,512.77","138,675.47","1,157,188.24",0,"16,833.93","16,833.93","193,339.39","80,049.95","318,062.94","50,727.02","411,663.62","1,053,842.93","205,630.10","384,915.87","1,644,388.90"
2019,4,"86,713.27","158,215.31","545,054.29","334,976.24","30,356.90","1,155,316.00","178,542.83","1,333,858.84",0,"18,935.68","18,935.68","220,088.71","86,272.48","354,226.55","55,603.02","486,995.68","1,203,186.44","234,285.21","419,126.89","1,856,598.54"
2019,5,"97,254.24","178,437.09","605,288.27","374,348.21","33,927.62","1,289,255.43","204,446.66","1,493,702.09",0,"20,385.30","20,385.30","245,956.00","90,450.50","389,649.21","60,238.77","542,752.00","1,329,046.48","263,350.60","477,427.07","2,069,824.16"
2019,6,107701.8254,196588.3191,685389.3233,413186.1136,37347.14752,1440212.729,204460.5881,1644673.317,0,30348.21567,30348.21567,264832.3803,103717.57,427952.7012,84605.29411,618893.639,1500001.585,360331.8178,529195.339,2389528.741
2019,7,7548.54244,16332.53713,45844.81346,34260.92425,3117.877615,107104.6949,10029.78063,117134.4755,0,0,0,28746.19775,15116.62422,38340.02593,3146.927675,22892.73433,108242.5099,0,4732.147533,112974.6574
2019,8,16184.87055,31622.55188,95220.90572,68882.27043,6987.445073,218898.0437,18454.59126,237352.6349,0,2920.167922,2920.167922,50369.80396,25533.56327,76680.05186,6534.927675,78731.26402,237849.6108,0,17036.41813,254886.0289
2019,9,25729.00653,49724.62306,180720.6074,105779.2516,9498.320091,371451.8087,49707.05347,421158.8622,0,2802.211289,2802.211289,76250.00787,34162.85605,109719.4744,26258.57672,144792.35,391183.2651,57542.09115,95900.48225,544625.8385
2019,10,34223.82587,67636.30604,241041.9237,140451.3418,13889.91783,497243.3152,61975.92725,559219.2424,0,8471.88266,8471.88266,97810.97336,40481.85814,153360.1037,29058.56571,182551.8773,503263.3782,69431.1164,129883.9989,702578.4935
2019,11,42860.32338,85839.67432,285276.8975,178096.8523,18481.38152,610555.129,122659.0415,733214.1706,0,9619.962077,9619.962077,126431.7125,52404.39128,191700.1297,33128.05493,232030.9308,635695.2192,87705.71095,183616.8231,907017.7533
2019,12,51551.24179,103376.5257,367428.7985,211544.0351,22748.20855,756648.8097,173725.3184,930374.1281,0,10147.40178,10147.40178,147163.9239,61511.53786,225709.1186,50197.37974,343164.8752,827746.8353,122208.6905,268145.1917,1218100.718
2020,1,61780.12032,123635.8985,416731.4136,245673.5042,26717.98544,874538.922,186959.4839,1061498.406,0,13535.79422,13535.79422,171465.8846,76608.22743,268380.1815,53478.73526,371298.4156,941231.4444,160472.3271,335160.3168,1436864.088
2020,2,69754.35019,140036.1116,456389.8359,275438.7323,30446.91432,972065.9443,203769.6942,1175835.639,0,14050.31507,14050.31507,195971.5544,86770.91482,306720.2075,59773.6357,415694.5923,1064930.905,188941.3589,360573.3728,1614445.636
2020,3,76931.09663,159490.8323,519713.802,305657.4462,34452.10029,1096245.277,235945.5625,1332190.84,0,13576.69568,13576.69568,223268.616,94548.34935,331864.3311,74145.72218,457670.2784,1181497.297,214784.8183,471960.0487,1868242.164
2020,4,83099.56697,171019.3675,591244.3982,332238.9431,36953.79006,1214556.066,253832.266,1468388.332,0,13400.43504,13400.43504,255057,100598.7199,380117.0194,74502.08253,487019.8946,1297294.716,246871.3149,426550.3477,1970716.379
2020,5,89247.52209,182082.298,638961.5949,354433.2319,39534.86037,1304259.507,279172.8325,1583432.34,0,18155.61766,18155.61766,285611.0947,112453.3165,421740.2852,76250.58062,549377.5522,1445432.829,263090.408,470374.7649,2178898.002
2020,6,98022.23644,195269.8252,706936.3321,383713.1885,43565.98629,1427507.569,306123.5427,1733631.111,0,19819.74128,19819.74128,315361.9427,121840.0895,449926.9467,89605.47873,668487.321,1645221.779,325278.0575,594943.6658,2565443.502
2020,7,6683.232462,15053.82399,42988.55276,26185.46457,3515.218973,94426.29275,10828.11066,105254.4034,0,0,0,27700.76436,15028.66851,26361.1195,3967.472619,15657.36083,88715.38581,908.0041239,4583.721283,94207.11122
2020,8,14350.76039,30997.93639,80632.6628,53574.91752,7690.071624,187246.3487,24612.94217,211859.2909,0,1375.575148,1375.575148,56781.03113,30339.04173,75222.239,13578.93085,75706.24333,251627.486,28021.59476,54222.44987,333871.5307
2020,9,23167.28665,47353.82876,151247.837,83062.40895,11942.79862,316774.16,61903.48839,378677.6484,0,3915.299221,3915.299221,81168.50518,34133.51785,118569.5353,26189.09572,99429.97533,359490.6294,28838.87298,122057.2755,510386.7779
2020,10,32069.85956,64454.46191,198206.8304,114144.8216,16415.94712,425291.9206,80019.21323,505311.1338,0,4404.746682,4404.746682,115684.6646,38127.69255,165444.478,30374.89047,152909.7964,502541.5221,81896.04163,137306.8633,721744.427
2020,11,40658.45766,83485.40029,234072.8523,144756.7773,20541.6806,523515.1681,100668.3384,624183.5065,0,5799.92785,5799.92785,154618.9023,51705.88355,206805.5975,32159.61604,192503.2423,637793.2417,108035.7131,185611.922,931440.8768
